Company ID,Creative,Email Sent Date
446140,Default Creative,01-Feb-18
354516,Default Creative,01-Feb-18
128643,Default Creative,01-Feb-18
232285,Default Creative,01-Feb-18
239789,Default Creative,01-Feb-18
6849,Default Creative,01-Feb-18
731117,Default Creative,01-Feb-18
95905,Default Creative,01-Feb-18
606723,Default Creative,01-Feb-18
590273,Default Creative,01-Feb-18
882724,Default Creative,01-Feb-18
482898,Default Creative,01-Feb-18
638576,Default Creative,01-Feb-18
244950,Default Creative,01-Feb-18
596218,Default Creative,01-Feb-18
69491,Default Creative,01-Feb-18
756014,Default Creative,01-Feb-18
985060,Default Creative,01-Feb-18
194080,Default Creative,01-Feb-18
673933,Default Creative,01-Feb-18
199241,Default Creative,01-Feb-18
317036,Default Creative,01-Feb-18
482201,Default Creative,01-Feb-18
856363,Default Creative,01-Feb-18
702130,Default Creative,01-Feb-18
506065,Default Creative,01-Feb-18
732085,Default Creative,01-Feb-18
428091,Default Creative,01-Feb-18
638404,Default Creative,01-Feb-18
158465,Default Creative,01-Feb-18
185776,Default Creative,01-Feb-18
782177,Default Creative,01-Feb-18
888707,Default Creative,01-Feb-18
895472,Default Creative,01-Feb-18
840006,Default Creative,01-Feb-18
740823,Default Creative,01-Feb-18
526422,Default Creative,01-Feb-18
549588,Default Creative,01-Feb-18
570012,Default Creative,01-Feb-18
434266,Default Creative,01-Feb-18
705375,Default Creative,01-Feb-18
817067,Default Creative,01-Feb-18
478018,Default Creative,01-Feb-18
482959,Default Creative,01-Feb-18
581722,Default Creative,01-Feb-18
525518,Default Creative,01-Feb-18
92906,Default Creative,01-Feb-18
179716,Default Creative,01-Feb-18
535807,Default Creative,01-Feb-18
232880,Default Creative,01-Feb-18
756440,Default Creative,01-Feb-18
474483,Default Creative,01-Feb-18
560200,Default Creative,01-Feb-18
628113,Default Creative,01-Feb-18
297958,Default Creative,01-Feb-18
558031,Default Creative,01-Feb-18
386061,Default Creative,01-Feb-18
833005,Default Creative,01-Feb-18
233641,Default Creative,01-Feb-18
444178,Default Creative,01-Feb-18
814045,Default Creative,01-Feb-18
488369,Default Creative,01-Feb-18
65837,Default Creative,01-Feb-18
499090,Default Creative,01-Feb-18
869153,Default Creative,01-Feb-18
282495,Default Creative,01-Feb-18
620275,Default Creative,01-Feb-18
48321,Default Creative,01-Feb-18
523745,Default Creative,01-Feb-18
229527,Default Creative,01-Feb-18
903726,Default Creative,01-Feb-18
774203,Default Creative,01-Feb-18
894296,Default Creative,01-Feb-18
780225,Default Creative,01-Feb-18
47074,Default Creative,01-Feb-18
189633,Default Creative,01-Feb-18
273242,Default Creative,01-Feb-18
219427,Default Creative,01-Feb-18
304099,Default Creative,01-Feb-18
83533,Default Creative,01-Feb-18
639114,Default Creative,01-Feb-18
868882,Default Creative,01-Feb-18
131383,Default Creative,01-Feb-18
710129,Default Creative,01-Feb-18
434077,Default Creative,01-Feb-18
808817,Default Creative,01-Feb-18
860932,Default Creative,01-Feb-18
638485,Default Creative,01-Feb-18
829857,Default Creative,01-Feb-18
308077,Default Creative,01-Feb-18
486097,Default Creative,01-Feb-18
673464,Default Creative,01-Feb-18
191181,Default Creative,01-Feb-18
263395,Default Creative,01-Feb-18
649206,Default Creative,01-Feb-18
403056,Default Creative,01-Feb-18
602307,Default Creative,01-Feb-18
143143,Default Creative,01-Feb-18
345009,Default Creative,01-Feb-18
255402,Default Creative,01-Feb-18
894982,Default Creative,01-Feb-18
654938,Default Creative,01-Feb-18
362779,Default Creative,01-Feb-18
891175,Default Creative,01-Feb-18
811972,Default Creative,01-Feb-18
276890,Default Creative,01-Feb-18
355606,Default Creative,01-Feb-18
41136,Default Creative,01-Feb-18
829850,Default Creative,01-Feb-18
494619,Default Creative,01-Feb-18
126851,Default Creative,01-Feb-18
175971,Default Creative,01-Feb-18
252884,Default Creative,01-Feb-18
764208,Default Creative,01-Feb-18
150252,Default Creative,01-Feb-18
718615,Default Creative,01-Feb-18
831082,Default Creative,01-Feb-18
311973,Default Creative,01-Feb-18
326074,Default Creative,01-Feb-18
847088,Default Creative,01-Feb-18
573909,Default Creative,01-Feb-18
135441,Default Creative,01-Feb-18
762510,Default Creative,01-Feb-18
187847,Default Creative,01-Feb-18
343128,Default Creative,01-Feb-18
611362,Default Creative,01-Feb-18
170636,Default Creative,01-Feb-18
596002,Default Creative,01-Feb-18
61040,Default Creative,01-Feb-18
277547,Default Creative,01-Feb-18
586582,Default Creative,01-Feb-18
496910,Default Creative,01-Feb-18
716217,Default Creative,01-Feb-18
948437,Default Creative,01-Feb-18
887002,Default Creative,01-Feb-18
800962,Default Creative,01-Feb-18
978706,Default Creative,01-Feb-18
728466,Default Creative,01-Feb-18
842040,Default Creative,01-Feb-18
685814,Default Creative,01-Feb-18
540280,Default Creative,01-Feb-18
277168,Default Creative,01-Feb-18
530469,Default Creative,01-Feb-18
68162,Default Creative,01-Feb-18
829445,Default Creative,01-Feb-18
165709,Default Creative,01-Feb-18
434765,Default Creative,01-Feb-18
97397,Default Creative,01-Feb-18
828138,Default Creative,01-Feb-18
674487,Default Creative,01-Feb-18
802510,Default Creative,01-Feb-18
924025,Default Creative,01-Feb-18
935374,Default Creative,01-Feb-18
315193,Default Creative,01-Feb-18
193978,Default Creative,01-Feb-18
799122,Default Creative,01-Feb-18
907578,Default Creative,01-Feb-18
711595,Default Creative,01-Feb-18
491076,Default Creative,01-Feb-18
391469,Default Creative,01-Feb-18
469914,Default Creative,01-Feb-18
751966,Default Creative,01-Feb-18
59126,Default Creative,01-Feb-18
324940,Default Creative,01-Feb-18
499220,Default Creative,01-Feb-18
248672,Default Creative,01-Feb-18
194675,Default Creative,01-Feb-18
304746,Default Creative,01-Feb-18
653577,Default Creative,01-Feb-18
186490,Default Creative,01-Feb-18
539585,Default Creative,01-Feb-18
550229,Default Creative,01-Feb-18
609251,Default Creative,01-Feb-18
579365,Default Creative,01-Feb-18
137176,Default Creative,01-Feb-18
922234,Default Creative,01-Feb-18
639219,Default Creative,01-Feb-18
119941,Default Creative,01-Feb-18
472851,Default Creative,01-Feb-18
195513,Default Creative,01-Feb-18
628184,Default Creative,01-Feb-18
595374,Default Creative,01-Feb-18
262044,Default Creative,01-Feb-18
241382,Default Creative,01-Feb-18
547361,Default Creative,01-Feb-18
658416,Default Creative,01-Feb-18
545995,Default Creative,01-Feb-18
387976,Default Creative,01-Feb-18
588997,Default Creative,01-Feb-18
122678,Default Creative,01-Feb-18
63323,Default Creative,01-Feb-18
603132,Default Creative,01-Feb-18
800817,Default Creative,01-Feb-18
843691,Default Creative,01-Feb-18
266517,Default Creative,01-Feb-18
455343,Default Creative,01-Feb-18
91994,Default Creative,01-Feb-18
357570,Default Creative,01-Feb-18
342577,Default Creative,01-Feb-18
550279,Default Creative,01-Feb-18
296944,Default Creative,01-Feb-18
20704,Default Creative,01-Feb-18
979325,Default Creative,01-Feb-18
727915,Default Creative,01-Feb-18
14190,Default Creative,01-Feb-18
933701,Default Creative,01-Feb-18
54856,Default Creative,01-Feb-18
133068,Default Creative,01-Feb-18
640855,Default Creative,01-Feb-18
140969,Default Creative,01-Feb-18
393295,Default Creative,01-Feb-18
771286,Default Creative,01-Feb-18
411061,Default Creative,01-Feb-18
510137,Default Creative,01-Feb-18
607072,Default Creative,01-Feb-18
154665,Default Creative,01-Feb-18
966344,Default Creative,01-Feb-18
292510,Default Creative,01-Feb-18
783877,Default Creative,01-Feb-18
542196,Default Creative,01-Feb-18
981993,Default Creative,01-Feb-18
249285,Default Creative,01-Feb-18
827009,Default Creative,01-Feb-18
993434,Default Creative,01-Feb-18
524463,Default Creative,01-Feb-18
265971,Default Creative,01-Feb-18
337111,Default Creative,01-Feb-18
464969,Default Creative,01-Feb-18
513039,Default Creative,01-Feb-18
357898,Default Creative,01-Feb-18
836525,Default Creative,01-Feb-18
349447,Default Creative,01-Feb-18
357420,Default Creative,01-Feb-18
228387,Default Creative,01-Feb-18
493531,Default Creative,01-Feb-18
257907,Default Creative,01-Feb-18
799588,Default Creative,01-Feb-18
76788,Default Creative,01-Feb-18
512552,Default Creative,01-Feb-18
821530,Default Creative,01-Feb-18
815281,Default Creative,01-Feb-18
897263,Default Creative,01-Feb-18
451125,Default Creative,01-Feb-18
590823,Default Creative,01-Feb-18
105682,Default Creative,01-Feb-18
111597,Default Creative,01-Feb-18
248830,Default Creative,01-Feb-18
820816,Default Creative,01-Feb-18
985325,Default Creative,01-Feb-18
412997,Default Creative,01-Feb-18
179228,Default Creative,01-Feb-18
328736,Default Creative,01-Feb-18
284635,Default Creative,01-Feb-18
915522,Default Creative,01-Feb-18
940347,Default Creative,01-Feb-18
249689,Default Creative,01-Feb-18
348950,Default Creative,01-Feb-18
82861,Default Creative,01-Feb-18
27775,Default Creative,01-Feb-18
713494,Default Creative,01-Feb-18
47621,Default Creative,01-Feb-18
458040,Default Creative,01-Feb-18
298821,Default Creative,01-Feb-18
537582,Default Creative,01-Feb-18
614047,Default Creative,01-Feb-18
771848,Default Creative,01-Feb-18
729819,Default Creative,01-Feb-18
292078,Default Creative,01-Feb-18
736389,Default Creative,01-Feb-18
151690,Default Creative,01-Feb-18
207766,Default Creative,01-Feb-18
247165,Default Creative,01-Feb-18
66779,Default Creative,01-Feb-18
595706,Default Creative,01-Feb-18
655578,Default Creative,01-Feb-18
34142,Default Creative,01-Feb-18
684905,Default Creative,01-Feb-18
107845,Default Creative,01-Feb-18
834580,Default Creative,01-Feb-18
895101,Default Creative,01-Feb-18
462221,Default Creative,01-Feb-18
